file,path,line,come,vul,vultype,version
Endpoint.sol,contracts/Endpoint.sol,313,null,152,SWC-101-Integer Overflow and Underflow,0.7.6
Relayer.sol,contracts/Relayer.sol,156,null,4|4|21-23,SWC-102-Outdated Compiler Version|SWC-103-Floating Pragma|SWC-101-Integer Overflow and Underflow,^0.7.6
ApeVault.sol,contracts/ApeVault.sol,288,null,64|71|133-135,SWC-135-Code With No Effects|SWC-135-Code With No Effects|SWC-105-Unprotected Ether Withdrawal,^0.8.2
ImpossibleWrappedToken.sol,contracts/ImpossibleWrappedToken.sol,818,null,53-61|65-73|65-73,SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-114-Transaction Order Dependence,=0.7.6
ve.sol,contracts/ve.sol,1343,null,491-493|675-697|1097-1104,SWC-112-Delegatecall to Untrusted Callee|SWC-104-Unchecked Call Return Value|SWC-107-Reentrancy,0.8.11
VEReward.sol,contracts/VEReward.sol,481,null,119-134|269-275,SWC-113-DoS with Failed Call|SWC-128-DoS With Block Gas Limit,0.8.11
Liquidator.sol,contracts/Liquidator.sol,37,null,35,SWC-105-Unprotected Ether Withdrawal,^0.8.0
VaultManager.sol,contracts/VaultManager.sol,202,null,156-166,SWC-101-Integer Overflow and Underflow,^0.8.0
ZapIn.sol,contracts/ZapIn.sol,165,null,53-54,SWC-101-Integer Overflow and Underflow,0.7.6
SwapHelper.sol,contracts/SwapHelper.sol,74,null,11-74,SWC-101-Integer Overflow and Underflow,0.7.6
IdleLiquidityModule.sol,contracts/IdleLiquidityModule.sol,133,null,131,SWC-101-Integer Overflow and Underflow,0.7.6
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,contracts/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,732,null,454- 457,SWC-105-Unprotected Ether Withdrawal,>=0.6.0 <0.8.0
MonstaPresale.sol,contracts/MonstaPresale.sol,97,null,94 - 96,SWC-105-Unprotected Ether Withdrawal,0.6.0
wildfire.sol,contracts/wildfire.sol,1114,null,809 - 817|898 - 902,SWC-113-DoS with Failed Call|SWC-113-DoS with Failed Call,^0.6.12
WorthTokenSale.sol,contracts/WorthTokenSale.sol,311,null,279 - 282,SWC-105-Unprotected Ether Withdrawal,0.8.10
VaultManager_1.sol,contracts/VaultManager_1.sol,925,null,692,SWC-104-Unchecked Call Return Value,0.8.12
Comptroller.sol,contracts/Comptroller.sol,1358,null,465-501,SWC-107-Reentrancy,^0.8.6
CToken.sol,contracts/CToken.sol,1201,null,930-947,SWC-107-Reentrancy,^0.8.6
