file,path,line,come,vul,vultype,version,fix_time,token_usage
0x06faa4d8157ba45baf2da5e7d02384225948d54f,/home/hjh/Desktop/test/sguardplus/sum/0x06faa4d8157ba45baf2da5e7d02384225948d54f.sol,18,rlrep,12,Arithmetic,^0.4.24,4.07,608.0
0x1ca43a170bad619322e6f54d46b57e504db663aa,/home/hjh/Desktop/test/sguardplus/sum/0x1ca43a170bad619322e6f54d46b57e504db663aa.sol,390,rlrep,321,unchecked_low_level_calls,^0.4.25,4.72,735.0
0x232391765aacf9e075e66162ce4e453afcbf14b5,/home/hjh/Desktop/test/sguardplus/sum/0x232391765aacf9e075e66162ce4e453afcbf14b5.sol,161,smartfix,135,Reentrancy,0.8.2,3.97,561.0
0x24e188a980b0aeab2c68f3eb20cc823af96a36da,/home/hjh/Desktop/test/sguardplus/sum/0x24e188a980b0aeab2c68f3eb20cc823af96a36da.sol,649,rlrep,619,access_control,^0.4.25,3.48,489.0
0x40eac8f2702758275abbbda2881708f82c417a7f,/home/hjh/Desktop/test/sguardplus/sum/0x40eac8f2702758275abbbda2881708f82c417a7f.sol,20,rlrep,12,unchecked_low_level_calls,^0.4.25,4.93,649.0
0x4c60e311d8fba04e313f7e7b3dec61b3028726d1,/home/hjh/Desktop/test/sguardplus/sum/0x4c60e311d8fba04e313f7e7b3dec61b3028726d1.sol,499,rlrep,194,access_control,^0.4.24,3.35,754.0
0x51f545a57a88d193227f506ff07911da0df2749c,/home/hjh/Desktop/test/sguardplus/sum/0x51f545a57a88d193227f506ff07911da0df2749c.sol,42,rlrep,16,Arithmetic,^0.4.21	,3.2,583.0
0x7dcb72ad13f89a3e6a97943073b03e65935e976e,/home/hjh/Desktop/test/sguardplus/sum/0x7dcb72ad13f89a3e6a97943073b03e65935e976e.sol,32,rlrep,16,Arithmetic,^0.4.11,2.85,579.0
0x8d224658147dee7a390100267d3aff9c30605b3f,/home/hjh/Desktop/test/sguardplus/sum/0x8d224658147dee7a390100267d3aff9c30605b3f.sol,63,rlrep,49,access_control,^0.4.11,7.39,514.0
0xab51a20d744574f33e7f28a7b66b748dd5f7ce04,/home/hjh/Desktop/test/sguardplus/sum/0xab51a20d744574f33e7f28a7b66b748dd5f7ce04.sol,25,rlrep,15,TIME_MANIPULATION,^0.4.19,5.94,545.0
0xab7f12a452f44ff040ff25b0ad66a1d784438d70,/home/hjh/Desktop/test/sguardplus/sum/0xab7f12a452f44ff040ff25b0ad66a1d784438d70.sol,62,rlrep,42,Arithmetic,^0.4.16,3.76,668.0
0xd0eabc1550ba386fd26b2c01dec45b2595063498,/home/hjh/Desktop/test/sguardplus/sum/0xd0eabc1550ba386fd26b2c01dec45b2595063498.sol,24,rlrep,20,unchecked_low_level_calls,>= 0.4.24,3.81,698.0
0xd42993d9d330614fb7e4331e41d2916f9a69d28e,/home/hjh/Desktop/test/sguardplus/sum/0xd42993d9d330614fb7e4331e41d2916f9a69d28e.sol,66,rlrep,28,TIME_MANIPULATION,^0.4.11,2.83,559.0
2018-13167,/home/hjh/Desktop/test/sguardplus/sum/2018-13167.sol,122,smartfix,106,Arithmetic,^0.4.24,3.06,586.0
2018-13169,/home/hjh/Desktop/test/sguardplus/sum/2018-13169.sol,263,smartfix,153,Arithmetic,^0.4.20,4.14,641.0
2018-13176,/home/hjh/Desktop/test/sguardplus/sum/2018-13176.sol,245,smartfix,210,Arithmetic,^0.4.16,4.84,567.0
2018-13200,/home/hjh/Desktop/test/sguardplus/sum/2018-13200.sol,246,smartfix,237,Arithmetic,0.4.21,6.03,912.0
2018-13201,/home/hjh/Desktop/test/sguardplus/sum/2018-13201.sol,125,smartfix,119,Arithmetic,^0.4.13,4.73,632.0
2018-13208,/home/hjh/Desktop/test/sguardplus/sum/2018-13208.sol,172,smartfix,165,Arithmetic,^0.4.2,2.09,628.0
2018-13213,/home/hjh/Desktop/test/sguardplus/sum/2018-13213.sol,298,smartfix,184,Arithmetic,^0.4.2,3.09,638.0
2018-13225,/home/hjh/Desktop/test/sguardplus/sum/2018-13225.sol,182,smartfix,168,Arithmetic,^0.4.13,7.62,624.0
2018-13327,/home/hjh/Desktop/test/sguardplus/sum/2018-13327.sol,93,smartfix,35,Arithmetic,^0.4.4,2.86,651.0
2018-13478,/home/hjh/Desktop/test/sguardplus/sum/2018-13478.sol,235,smartfix,200,Arithmetic,^0.4.16,2.79,573.0
2018-13530,/home/hjh/Desktop/test/sguardplus/sum/2018-13530.sol,83,smartfix,30,Arithmetic,^0.4.13,2.8,546.0
2018-13545,/home/hjh/Desktop/test/sguardplus/sum/2018-13545.sol,235,smartfix,214,Arithmetic,^0.4.19,2.92,567.0
2018-13644,/home/hjh/Desktop/test/sguardplus/sum/2018-13644.sol,162,smartfix,135,Arithmetic,^0.4.18,2.59,544.0
2018-13729,/home/hjh/Desktop/test/sguardplus/sum/2018-13729.sol,267,smartfix,165,Arithmetic,^0.4.17,3.07,598.0
2018-13741,/home/hjh/Desktop/test/sguardplus/sum/2018-13741.sol,235,smartfix,200,Arithmetic,^0.4.16,2.19,570.0
2018-13771,/home/hjh/Desktop/test/sguardplus/sum/2018-13771.sol,219,smartfix,206,Arithmetic,^0.4.21,3.09,577.0
2018-14087,/home/hjh/Desktop/test/sguardplus/sum/2018-14087.sol,175,smartfix,157,Arithmetic,^0.4.16,2.6,517.0
2018-14089,/home/hjh/Desktop/test/sguardplus/sum/2018-14089.sol,208,smartfix,101,Arithmetic,^0.4.19,4.56,757.0
lottery,/home/hjh/Desktop/test/sguardplus/sum/lottery.sol,69,SmartBugs,38,BAD_RANDOMNESS,^0.4.0,4.26,725.0
smart_billions,/home/hjh/Desktop/test/sguardplus/sum/smart_billions.sol,772,SmartBugs,523,BAD_RANDOMNESS,^0.4.13,4.09,797.0
