file,path,line,come,vul,vultype,version
0x17f68886d00845867c154c912b4ccc506ec92fc7,/home/hjh/Desktop/test/sguardplus/sum/0x17f68886d00845867c154c912b4ccc506ec92fc7.sol,272,rlrep,45,access_control,^0.4.25
0xa958f2404d1a1b33e2d22244aab118dcfcc358e3,/home/hjh/Desktop/test/sguardplus/sum/0xa958f2404d1a1b33e2d22244aab118dcfcc358e3.sol,223,rlrep,134,access_control,^0.4.24
0x4c60e311d8fba04e313f7e7b3dec61b3028726d1,/home/hjh/Desktop/test/sguardplus/sum/0x4c60e311d8fba04e313f7e7b3dec61b3028726d1.sol,499,rlrep,194,access_control,^0.4.24
0x51e14cae717d807867abcbbf386654bfcb1feaee,/home/hjh/Desktop/test/sguardplus/sum/0x51e14cae717d807867abcbbf386654bfcb1feaee.sol,42,rlrep,16,Arithmetic,^0.4.21
2018-13200,/home/hjh/Desktop/test/sguardplus/sum/2018-13200.sol,246,smartfix,237,Arithmetic,0.4.21
0xdf4b83a451ef20b925ce39f4da2a021722688370,/home/hjh/Desktop/test/sguardplus/sum/0xdf4b83a451ef20b925ce39f4da2a021722688370.sol,63,rlrep,19,Reentrancy,^0.4.25
0x6b9d6a0bc491f2a6f57fd1eff9acbbaf8d21417b,/home/hjh/Desktop/test/sguardplus/sum/0x6b9d6a0bc491f2a6f57fd1eff9acbbaf8d21417b.sol,41,rlrep,33,access_control,^0.4.25
0x70e531091d82e183f7246012d1566c3fe1315625,/home/hjh/Desktop/test/sguardplus/sum/0x70e531091d82e183f7246012d1566c3fe1315625.sol,26,rlrep,12,access_control,^0.4.18
0x8d224658147dee7a390100267d3aff9c30605b3f,/home/hjh/Desktop/test/sguardplus/sum/0x8d224658147dee7a390100267d3aff9c30605b3f.sol,63,rlrep,49,access_control,^0.4.11
2018-13478,/home/hjh/Desktop/test/sguardplus/sum/2018-13478.sol,235,smartfix,200,Arithmetic,^0.4.16
2018-13530,/home/hjh/Desktop/test/sguardplus/sum/2018-13530.sol,83,smartfix,30,Arithmetic,^0.4.13
2018-13176,/home/hjh/Desktop/test/sguardplus/sum/2018-13176.sol,245,smartfix,210,Arithmetic,^0.4.16
2018-13521,/home/hjh/Desktop/test/sguardplus/sum/2018-13521.sol,205,smartfix,74,Arithmetic,^0.4.16
0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37,/home/hjh/Desktop/test/sguardplus/sum/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol,47,SmartBugs,45,unchecked_low_level_calls,^0.4.19
0x763a1f49160f947563a3a57f6f979d585c2b09df,/home/hjh/Desktop/test/sguardplus/sum/0x763a1f49160f947563a3a57f6f979d585c2b09df.sol,51,rlrep,45,unchecked_low_level_calls,^0.4.24
0xd69ef2f30c17b73add956f7f736fe8a6b69a1097,/home/hjh/Desktop/test/sguardplus/sum/0xd69ef2f30c17b73add956f7f736fe8a6b69a1097.sol,68,rlrep,54,unchecked_low_level_calls,^0.4.13
0xab7f12a452f44ff040ff25b0ad66a1d784438d70,/home/hjh/Desktop/test/sguardplus/sum/0xab7f12a452f44ff040ff25b0ad66a1d784438d70.sol,62,rlrep,42,Arithmetic,^0.4.16
0xf03f87c82f30357099bde7d2059dad7fff94059f,/home/hjh/Desktop/test/sguardplus/sum/0xf03f87c82f30357099bde7d2059dad7fff94059f.sol,42,rlrep,16,Arithmetic,^0.4.21
0x9f4fd6c336388f2ab7dc7bbe4740ae7b88b880d7,/home/hjh/Desktop/test/sguardplus/sum/0x9f4fd6c336388f2ab7dc7bbe4740ae7b88b880d7.sol,285,smartfix,57,access_control,^0.4.18
