file,path,line,come,vul,vultype,version,fix_time,token_usage
Endpoint.sol,contracts/Endpoint.sol,313,,152,SWC-101-Integer Overflow and Underflow,0.7.6,12.43,3783.0
Relayer.sol,contracts/Relayer.sol,156,,4|4|21-23,SWC-102-Outdated Compiler Version|SWC-103-Floating Pragma|SWC-101-Integer Overflow and Underflow,^0.7.6,11.21,2160.0
ApeVault.sol,contracts/ApeVault.sol,288,,64|71|133-135,SWC-135-Code With No Effects|SWC-135-Code With No Effects|SWC-105-Unprotected Ether Withdrawal,^0.8.2,11.42,2858.0
ImpossibleWrappedToken.sol,contracts/ImpossibleWrappedToken.sol,818,,53-61|65-73|65-73,SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-114-Transaction Order Dependence,=0.7.6,12.84,9111.0
ve.sol,contracts/ve.sol,1343,,491-493|675-697|1097-1104,SWC-112-Delegatecall to Untrusted Callee|SWC-104-Unchecked Call Return Value|SWC-107-Reentrancy,0.8.11,13.72,12898.0
VEReward.sol,contracts/VEReward.sol,481,,119-134|269-275,SWC-113-DoS with Failed Call|SWC-128-DoS With Block Gas Limit,0.8.11,9.42,4588.0
Liquidator.sol,contracts/Liquidator.sol,37,,35,SWC-105-Unprotected Ether Withdrawal,^0.8.0,5.16,518.0
VaultManager.sol,contracts/VaultManager.sol,202,,156-166,SWC-101-Integer Overflow and Underflow,^0.8.0,20.89,2660.0
ZapIn.sol,contracts/ZapIn.sol,165,,53-54,SWC-101-Integer Overflow and Underflow,0.7.6,7.72,1850.0
SwapHelper.sol,contracts/SwapHelper.sol,74,,11-74,SWC-101-Integer Overflow and Underflow,0.7.6,17.58,1322.0
IdleLiquidityModule.sol,contracts/IdleLiquidityModule.sol,133,,131,SWC-101-Integer Overflow and Underflow,0.7.6,11.19,1710.0
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,contracts/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,732,,454- 457,SWC-105-Unprotected Ether Withdrawal,>=0.6.0 <0.8.0,6.11,5886.0
MonstaPresale.sol,contracts/MonstaPresale.sol,97,,94 - 96,SWC-105-Unprotected Ether Withdrawal,0.6.0,7.72,1149.0
