file,path,line,come,vul,vultype,version,fix_time,token_usage
Endpoint.sol,contracts/Endpoint.sol,313,,152,SWC-101-Integer Overflow and Underflow,0.7.6,9.15,3884
Relayer.sol,contracts/Relayer.sol,156,,4|4|21-23,SWC-101-Integer Overflow and Underflow,^0.7.6,25.66,2780
ApeVault.sol,contracts/ApeVault.sol,288,,64|71|133-135,SWC-105-Unprotected Ether Withdrawal,^0.8.2,8.91,3011
ImpossibleWrappedToken.sol,contracts/ImpossibleWrappedToken.sol,818,,53-61|65-73|65-73,SWC-107-Reentrancy,=0.7.6,33.54,9884
ve.sol,contracts/ve.sol,1343,,491-493|675-697|1097-1104,SWC-104-Unchecked Call Return Value,0.8.11,38.79,13791
VEReward.sol,contracts/VEReward.sol,481,,119-134|269-275,SWC-113-DoS with Failed Call,0.8.11,38.43,5652
Liquidator.sol,contracts/Liquidator.sol,37,,35,SWC-105-Unprotected Ether Withdrawal,^0.8.0,10.83,874
VaultManager.sol,contracts/VaultManager.sol,202,,156-166,SWC-101-Integer Overflow and Underflow,^0.8.0,34.71,3252
ZapIn.sol,contracts/ZapIn.sol,165,,53-54,SWC-101-Integer Overflow and Underflow,0.7.6,29.81,2639
SwapHelper.sol,contracts/SwapHelper.sol,74,,11-74,SWC-101-Integer Overflow and Underflow,0.7.6,37.99,2026
IdleLiquidityModule.sol,contracts/IdleLiquidityModule.sol,133,,131,SWC-101-Integer Overflow and Underflow,0.7.6,22.39,2190
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,contracts/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,732,,454- 457,SWC-105-Unprotected Ether Withdrawal,>=0.6.0 <0.8.0,9.25,6191
MonstaPresale.sol,contracts/MonstaPresale.sol,97,,94 - 96,SWC-105-Unprotected Ether Withdrawal,0.6.0,5.63,1303
wildfire.sol,contracts/wildfire.sol,1114,,809 - 817|898 - 902,SWC-113-DoS with Failed Call,^0.6.12,25.61,10773
WorthTokenSale.sol,contracts/WorthTokenSale.sol,311,,279 - 282,SWC-105-Unprotected Ether Withdrawal,0.8.10,9.11,3385
VaultManager_1.sol,contracts/VaultManager_1.sol,925,,692,SWC-104-Unchecked Call Return Value,0.8.12,46.62,12348
Comptroller.sol,contracts/Comptroller.sol,1358,,465-501,SWC-107-Reentrancy,^0.8.6,19.48,13662
CToken.sol,contracts/CToken.sol,1201,,930-947,SWC-107-Reentrancy,^0.8.6,16.56,12030
MultiplyProxyActions.sol,contracts/MultiplyProxyActions.sol,816,,119|172,SWC-101-Integer Overflow and Underflow,>=0.7.6,21.88,7351
ReferralFeeReceiver.sol,contracts/ReferralFeeReceiver.sol,211,,11,SWC-107-Reentrancy,^0.6.0,69.78,4484
yield.sol,contracts/yield.sol,676,,2|532 - 541|640 - 644,SWC-128-DoS With Block Gas Limit,^0.5.12,21.84,6634
FountainBase.sol,contracts/FountainBase.sol,351,,290-291|295-308,SWC-107-Reentrancy,0.6.12,32.34,3975
YieldFarm.sol,contracts/YieldFarm.sol,173,,3|76,SWC-128-DoS With Block Gas Limit,^0.6.0,18.29,2463
CommunityVault.sol,contracts/CommunityVault.sol,23,,2|19,SWC-107-Reentrancy,^0.6.0,8.66,714
YieldFarm_1.sol,contracts/YieldFarm_1.sol,173,,3|73 - 77,SWC-128-DoS With Block Gas Limit,^0.6.0,19.02,2465
YieldFarm_2.sol,contracts/YieldFarm_2.sol,173,,3|73 - 77,SWC-128-DoS With Block Gas Limit,^0.6.0,16.14,2419
YieldFarmLP.sol,contracts/YieldFarmLP.sol,160,,3|62 - 66,SWC-128-DoS With Block Gas Limit,^0.6.0,15.49,2192
wHakka.sol,contracts/wHakka.sol,601,,509|556 - 573|576 - 592|580,SWC-107-Reentrancy,0.5.17,42.75,6718
MasterChef.sol,contracts/MasterChef.sol,390,,105 - 127|131 - 143|227 - 266|247 - 251|272 - 306|310 - 329|333 - 340|378 - 381|384 - 389,SWC-107-Reentrancy,0.6.7,49.08,4999
strategy-base.sol,contracts/strategy-base.sol,363,,237 - 268|271 - 288|291 - 322|325 - 342,SWC-104-Unchecked Call Return Value,^0.6.7,42.91,4007
strategy-basis-farm-base.sol,contracts/strategy-basis-farm-base.sol,153,,78 - 152,SWC-104-Unchecked Call Return Value,^0.6.7,41.65,2426
SpaceMonkey.sol,contracts/SpaceMonkey.sol,686,,53 - 64|67|194,SWC-107-Reentrancy,^0.8.4,20.5,5878
AllocationStaking.sol,contracts/AllocationStaking.sol,577,,129-134|207-214|472-475,SWC-101-Integer Overflow and Underflow,0.6.12,17.4,6130
