file,path,line,come,vul,vultype,version,fix_time,token_usage,detect
Endpoint.sol,contracts/Endpoint.sol,313,,152,SWC-101-Integer Overflow and Underflow,0.7.6,0,161,yes
Relayer.sol,contracts/Relayer.sol,156,,4|4|21-23,SWC-101-Integer Overflow and Underflow,^0.7.6,0,274,yes
ApeVault.sol,contracts/ApeVault.sol,288,,64|71|133-135,SWC-105-Unprotected Ether Withdrawal,^0.8.2,0,252,no
ImpossibleWrappedToken.sol,contracts/ImpossibleWrappedToken.sol,818,,53-61|65-73|65-73,SWC-107-Reentrancy,=0.7.6,0,0,no
ve.sol,contracts/ve.sol,1343,,491-493|675-697|1097-1104,SWC-104-Unchecked Call Return Value,0.8.11,0,0,no
VEReward.sol,contracts/VEReward.sol,481,,119-134|269-275,SWC-113-DoS with Failed Call,0.8.11,0,160,yes
Liquidator.sol,contracts/Liquidator.sol,37,,35,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,100,no
VaultManager.sol,contracts/VaultManager.sol,202,,156-166,SWC-101-Integer Overflow and Underflow,^0.8.0,0,99,yes
ZapIn.sol,contracts/ZapIn.sol,165,,53-54,SWC-101-Integer Overflow and Underflow,0.7.6,0,159,yes
SwapHelper.sol,contracts/SwapHelper.sol,74,,11-74,SWC-101-Integer Overflow and Underflow,0.7.6,0,296,yes
IdleLiquidityModule.sol,contracts/IdleLiquidityModule.sol,133,,131,SWC-101-Integer Overflow and Underflow,0.7.6,0,163,yes
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,contracts/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,732,,454- 457,SWC-105-Unprotected Ether Withdrawal,>=0.6.0 <0.8.0,0,177,yes
MonstaPresale.sol,contracts/MonstaPresale.sol,97,,94 - 96,SWC-105-Unprotected Ether Withdrawal,0.6.0,0,103,yes
wildfire.sol,contracts/wildfire.sol,1114,,809 - 817|898 - 902,SWC-113-DoS with Failed Call,^0.6.12,0,0,no
