file,path,line,cyclomatic_complexity,function_count,come,vul,vultype,version,fix_time,token_usage,抽查,deepseek修复,,qwen修复,
0x000000c96e715a5b8cd3beaea66bdb749225fa2f,/home/hjh/Desktop/test/sguardplus/sum/0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol,799,39,19,rlrep,311,access_control,^0.4.18,18.15,754,1,1,,0,
0x00888096c1cdeb35bb3772f9080227aa6c9968ad,/home/hjh/Desktop/test/sguardplus/sum/0x00888096c1cdeb35bb3772f9080227aa6c9968ad.sol,199,19,19,rlrep,17,access_control,^0.4.13,15.43,659,,,,,
0x011585ba96aa16b803e239defd807465073b883c,/home/hjh/Desktop/test/sguardplus/sum/0x011585ba96aa16b803e239defd807465073b883c.sol,199,59,39,rlrep,69,unchecked_low_level_calls,^0.4.11,21.56,968,,,,,
0x0177584d97c96ba91873a6baaff2797b5b5eeaf9,/home/hjh/Desktop/test/sguardplus/sum/0x0177584d97c96ba91873a6baaff2797b5b5eeaf9.sol,799,19,19,rlrep,619,access_control,^0.4.25,22.86,629,,,,,
0x018a5118019cc0cd453e49217374250177be5970,/home/hjh/Desktop/test/sguardplus/sum/0x018a5118019cc0cd453e49217374250177be5970.sol,199,39,19,rlrep,9,unchecked_low_level_calls,^0.4.24,17.47,788,,,,,
0x018c4031426917a769fe9964ab2650621642b8d7,/home/hjh/Desktop/test/sguardplus/sum/0x018c4031426917a769fe9964ab2650621642b8d7.sol,199,19,19,rlrep,190,access_control,^0.4.17,19.28,720,1,1,,1,
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,/home/hjh/Desktop/test/sguardplus/sum/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,199,19,19,SmartBugs,54,Reentrancy,^0.4.19,,,,,,,
0x0208a56ea43c3ff6c2611071948794c2674a16b9,/home/hjh/Desktop/test/sguardplus/sum/0x0208a56ea43c3ff6c2611071948794c2674a16b9.sol,399,19,19,smartfix,175,access_control,0.4.18,12.27,554,,,,,
0x0246ca32095807e24a6bb9f811fecdbc2d5a83f1,/home/hjh/Desktop/test/sguardplus/sum/0x0246ca32095807e24a6bb9f811fecdbc2d5a83f1.sol,599,79,59,rlrep,175,Arithmetic,^0.4.25,74.51,1898,,,,,
0x02639fc688df086f18ce5e7f0f014bc74de0229b,/home/hjh/Desktop/test/sguardplus/sum/0x02639fc688df086f18ce5e7f0f014bc74de0229b.sol,199,19,19,rlrep,49,access_control,^0.4.11,17.54,743,,,,,
0x02875851520ae6bc91b5e5d2885ae88d49017ff1,/home/hjh/Desktop/test/sguardplus/sum/0x02875851520ae6bc91b5e5d2885ae88d49017ff1.sol,199,39,19,rlrep,5,unchecked_low_level_calls,^0.4.23,11.44,552,1,1,,1,
0x02f63293d2028a6de37f1d9545e66246a0a45911,/home/hjh/Desktop/test/sguardplus/sum/0x02f63293d2028a6de37f1d9545e66246a0a45911.sol,199,79,39,rlrep,20,Arithmetic,^ 0.4.11,12.93,568,,,,,
0x03c9458cef76439365cb1b4c44ea307c8e990b81,/home/hjh/Desktop/test/sguardplus/sum/0x03c9458cef76439365cb1b4c44ea307c8e990b81.sol,199,81,79,rlrep,13,access_control,^0.4.25,15.47,683,,,,,
0x03f69791513022d8b67facf221b98243346df7cb,/home/hjh/Desktop/test/sguardplus/sum/0x03f69791513022d8b67facf221b98243346df7cb.sol,199,19,19,rlrep,22,Arithmetic,^0.4.25,37.06,1273,,,,,
0x04037029b4f7fac106b7a3b88985d095e11fd091,/home/hjh/Desktop/test/sguardplus/sum/0x04037029b4f7fac106b7a3b88985d095e11fd091.sol,399,19,19,smartfix,140,access_control,^0.8.0,6.85,497,,,,,
0x0412ce6d21f100907910318e891ce965006790da,/home/hjh/Desktop/test/sguardplus/sum/0x0412ce6d21f100907910318e891ce965006790da.sol,199,19,19,rlrep,16,Arithmetic,"^0.4.25	",18.2,734,1,1,,0,
0x04ee4af9082746db738e7e5b49b733493a6bd81f,/home/hjh/Desktop/test/sguardplus/sum/0x04ee4af9082746db738e7e5b49b733493a6bd81f.sol,199,19,19,rlrep,9,unchecked_low_level_calls,^0.4.24,29.02,1014,,,,,
0x05238b667bfaefc6fd29c859171e422cd9ce0c36,/home/hjh/Desktop/test/sguardplus/sum/0x05238b667bfaefc6fd29c859171e422cd9ce0c36.sol,199,19,19,rlrep,49,access_control,^0.4.11,18.81,670,,,,,
0x0529663bd4d73d3dd06f90247d8c2e802755b7ec,/home/hjh/Desktop/test/sguardplus/sum/0x0529663bd4d73d3dd06f90247d8c2e802755b7ec.sol,199,19,19,rlrep,19,Reentrancy,^0.4.25,,,,,,,
0x0588383636469cb1509d146de7eaa96768906a83,/home/hjh/Desktop/test/sguardplus/sum/0x0588383636469cb1509d146de7eaa96768906a83.sol,199,39,19,rlrep,49,access_control,^0.4.11,16.58,708,,,,,
0x05d7c87cf85de4103635ec585b1e36cf240837b4,/home/hjh/Desktop/test/sguardplus/sum/0x05d7c87cf85de4103635ec585b1e36cf240837b4.sol,199,19,19,rlrep,18,Arithmetic,^0.4.25,15.1,726,1,1,,1,
0x05f6a05e0c8a8999510acc3a954340cc233a3caa,/home/hjh/Desktop/test/sguardplus/sum/0x05f6a05e0c8a8999510acc3a954340cc233a3caa.sol,199,19,19,rlrep,49,access_control,^0.4.11,13.48,652,,,,,
0x05f8b281410c9327a1bbf508db380fd967c31df6,/home/hjh/Desktop/test/sguardplus/sum/0x05f8b281410c9327a1bbf508db380fd967c31df6.sol,399,39,19,smartfix,258,access_control,^0.4.16,13.97,640,,,,,
0x06f2fb2ce2cf9b996c68fc8d39372a275d43c37c,/home/hjh/Desktop/test/sguardplus/sum/0x06f2fb2ce2cf9b996c68fc8d39372a275d43c37c.sol,199,81,59,rlrep,49,access_control,^0.4.11,14.03,670,,,,,
