file,path,come,vul,vultype,version,fix_time,token_usage,抽查,deepseek修复,Unnamed: 13,qwen修复,Unnamed: 15,line,cyclomatic_complexity,function_count
0x000000c96e715a5b8cd3beaea66bdb749225fa2f,/home/hjh/Desktop/test/sguardplus/sum/0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol,rlrep,311,access_control,^0.4.18,18.15,754,1,1,,0,,630,130,109
0x00888096c1cdeb35bb3772f9080227aa6c9968ad,/home/hjh/Desktop/test/sguardplus/sum/0x00888096c1cdeb35bb3772f9080227aa6c9968ad.sol,rlrep,17,access_control,^0.4.13,15.43,659,,,,,,25,6,6
0x011585ba96aa16b803e239defd807465073b883c,/home/hjh/Desktop/test/sguardplus/sum/0x011585ba96aa16b803e239defd807465073b883c.sol,rlrep,69,unchecked_low_level_calls,^0.4.11,21.56,968,,,,,,102,21,10
0x0177584d97c96ba91873a6baaff2797b5b5eeaf9,/home/hjh/Desktop/test/sguardplus/sum/0x0177584d97c96ba91873a6baaff2797b5b5eeaf9.sol,rlrep,619,access_control,^0.4.25,22.86,629,,,,,,649,104,65
0x018a5118019cc0cd453e49217374250177be5970,/home/hjh/Desktop/test/sguardplus/sum/0x018a5118019cc0cd453e49217374250177be5970.sol,rlrep,9,unchecked_low_level_calls,^0.4.24,17.47,788,,,,,,14,2,1
0x018c4031426917a769fe9964ab2650621642b8d7,/home/hjh/Desktop/test/sguardplus/sum/0x018c4031426917a769fe9964ab2650621642b8d7.sol,rlrep,190,access_control,^0.4.17,19.28,720,1,1,,1,,194,45,24
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,/home/hjh/Desktop/test/sguardplus/sum/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,SmartBugs,54,Reentrancy,^0.4.19,,,,,,,,96,12,7
0x0208a56ea43c3ff6c2611071948794c2674a16b9,/home/hjh/Desktop/test/sguardplus/sum/0x0208a56ea43c3ff6c2611071948794c2674a16b9.sol,smartfix,175,access_control,0.4.18,12.27,554,,,,,,205,35,23
0x0246ca32095807e24a6bb9f811fecdbc2d5a83f1,/home/hjh/Desktop/test/sguardplus/sum/0x0246ca32095807e24a6bb9f811fecdbc2d5a83f1.sol,rlrep,175,Arithmetic,^0.4.25,74.51,1898,,,,,,510,112,75
0x02639fc688df086f18ce5e7f0f014bc74de0229b,/home/hjh/Desktop/test/sguardplus/sum/0x02639fc688df086f18ce5e7f0f014bc74de0229b.sol,rlrep,49,access_control,^0.4.11,17.54,743,,,,,,63,10,7
