file,path,line,come,vul,vultype,version,fix_time,token_usage,detect
Endpoint.sol,contracts/Endpoint.sol,313,,152,SWC-101-Integer Overflow and Underflow,0.7.6,0,121,yes
Relayer.sol,contracts/Relayer.sol,156,,4|4|21-23,SWC-101-Integer Overflow and Underflow,^0.7.6,0,229,yes
ApeVault.sol,contracts/ApeVault.sol,288,,64|71|133-135,SWC-105-Unprotected Ether Withdrawal,^0.8.2,0,202,yes
ImpossibleWrappedToken.sol,contracts/ImpossibleWrappedToken.sol,818,,53-61|65-73|65-73,SWC-107-Reentrancy,=0.7.6,0,252,yes
ve.sol,contracts/ve.sol,1343,,491-493|675-697|1097-1104,SWC-104-Unchecked Call Return Value,0.8.11,0,77,yes
VEReward.sol,contracts/VEReward.sol,481,,119-134|269-275,SWC-113-DoS with Failed Call,0.8.11,0,205,yes
Liquidator.sol,contracts/Liquidator.sol,37,,35,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,94,yes
VaultManager.sol,contracts/VaultManager.sol,202,,156-166,SWC-101-Integer Overflow and Underflow,^0.8.0,0,88,yes
ZapIn.sol,contracts/ZapIn.sol,165,,53-54,SWC-101-Integer Overflow and Underflow,0.7.6,0,87,yes
SwapHelper.sol,contracts/SwapHelper.sol,74,,11-74,SWC-101-Integer Overflow and Underflow,0.7.6,0,826,yes
IdleLiquidityModule.sol,contracts/IdleLiquidityModule.sol,133,,131,SWC-101-Integer Overflow and Underflow,0.7.6,0,128,yes
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,contracts/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,732,,454- 457,SWC-105-Unprotected Ether Withdrawal,>=0.6.0 <0.8.0,0,100,yes
MonstaPresale.sol,contracts/MonstaPresale.sol,97,,94 - 96,SWC-105-Unprotected Ether Withdrawal,0.6.0,0,102,yes
wildfire.sol,contracts/wildfire.sol,1114,,809 - 817|898 - 902,SWC-113-DoS with Failed Call,^0.6.12,0,103,yes
WorthTokenSale.sol,contracts/WorthTokenSale.sol,311,,279 - 282,SWC-105-Unprotected Ether Withdrawal,0.8.10,0,81,yes
VaultManager_1.sol,contracts/VaultManager_1.sol,925,,692,SWC-104-Unchecked Call Return Value,0.8.12,0,77,no
Comptroller.sol,contracts/Comptroller.sol,1358,,465-501,SWC-107-Reentrancy,^0.8.6,0,75,yes
CToken.sol,contracts/CToken.sol,1201,,930-947,SWC-107-Reentrancy,^0.8.6,0,125,yes
MultiplyProxyActions.sol,contracts/MultiplyProxyActions.sol,816,,119|172,SWC-101-Integer Overflow and Underflow,>=0.7.6,0,156,yes
ReferralFeeReceiver.sol,contracts/ReferralFeeReceiver.sol,211,,11,SWC-107-Reentrancy,^0.6.0,0,99,no
yield.sol,contracts/yield.sol,676,,2|532 - 541|640 - 644,SWC-128-DoS With Block Gas Limit,^0.5.12,0,217,yes
FountainBase.sol,contracts/FountainBase.sol,351,,290-291|295-308,SWC-107-Reentrancy,0.6.12,0,211,no
YieldFarm.sol,contracts/YieldFarm.sol,173,,3|76,SWC-128-DoS With Block Gas Limit,^0.6.0,0,180,no
CommunityVault.sol,contracts/CommunityVault.sol,23,,2|19,SWC-107-Reentrancy,^0.6.0,0,128,no
YieldFarm_1.sol,contracts/YieldFarm_1.sol,173,,3|73 - 77,SWC-128-DoS With Block Gas Limit,^0.6.0,0,70,yes
YieldFarm_2.sol,contracts/YieldFarm_2.sol,173,,3|73 - 77,SWC-128-DoS With Block Gas Limit,^0.6.0,0,182,no
YieldFarmLP.sol,contracts/YieldFarmLP.sol,160,,3|62 - 66,SWC-128-DoS With Block Gas Limit,^0.6.0,0,210,no
wHakka.sol,contracts/wHakka.sol,601,,509|556 - 573|576 - 592|580,SWC-107-Reentrancy,0.5.17,0,308,no
MasterChef.sol,contracts/MasterChef.sol,390,,105 - 127|131 - 143|227 - 266|247 - 251|272 - 306|310 - 329|333 - 340|378 - 381|384 - 389,SWC-107-Reentrancy,0.6.7,0,382,yes
strategy-base.sol,contracts/strategy-base.sol,363,,237 - 268|271 - 288|291 - 322|325 - 342,SWC-104-Unchecked Call Return Value,^0.6.7,0,279,yes
strategy-basis-farm-base.sol,contracts/strategy-basis-farm-base.sol,153,,78 - 152,SWC-104-Unchecked Call Return Value,^0.6.7,0,92,yes
SpaceMonkey.sol,contracts/SpaceMonkey.sol,686,,53 - 64|67|194,SWC-107-Reentrancy,^0.8.4,0,297,no
AllocationStaking.sol,contracts/AllocationStaking.sol,577,,129-134|207-214|472-475,SWC-101-Integer Overflow and Underflow,0.6.12,0,93,yes
Admin.sol,contracts/Admin.sol,79,,43-68,SWC-113-DoS with Failed Call,0.6.12,0,118,no
AvalaunchSale.sol,contracts/AvalaunchSale.sol,588,,294|346,SWC-113-DoS with Failed Call,0.6.12,0,138,no
Ark.sol,contracts/Ark.sol,87,,3|55,SWC-113-DoS with Failed Call,0.6.9,0,163,yes
Vesting.sol,contracts/Vesting.sol,213,,139-199|172-180,SWC-101-Integer Overflow and Underflow,0.8.10,0,181,yes
Gate.sol,contracts/Gate.sol,250,,175-190,SWC-113-DoS with Failed Call,0.5.11,0,147,no
woonklyPOS.sol,contracts/woonklyPOS.sol,1017,,743 - 769|874 - 886,SWC-107-Reentrancy,^0.6.6,0,91,yes
vault.sol,contracts/vault.sol,699,,409|513 - 548|513 - 548,SWC-101-Integer Overflow and Underflow,0.6.6,0,215,yes
BorrowerOperations.sol,contracts/BorrowerOperations.sol,666,,321 - 351,SWC-105-Unprotected Ether Withdrawal,0.6.11,0,82,yes
TempusController.sol,contracts/TempusController.sol,520,,352-386|395-436,SWC-107-Reentrancy,0.8.6,0,276,yes
