file,path,line,come,vultype,vultype,version,fix_time,token_usage,detect
Endpoint.sol,contracts/Endpoint.sol,313,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,0.7.6,0,161,no
Relayer.sol,contracts/Relayer.sol,156,,SWC-101-Integer Overflow and Underflow,SWC-102-Outdated Compiler Version|SWC-103-Floating Pragma|SWC-101-Integer Overflow and Underflow,^0.7.6,0,274,yes
ApeVault.sol,contracts/ApeVault.sol,288,,SWC-105-Unprotected Ether Withdrawal,SWC-135-Code With No Effects|SWC-135-Code With No Effects|SWC-105-Unprotected Ether Withdrawal,^0.8.2,0,252,no
ImpossibleWrappedToken.sol,contracts/ImpossibleWrappedToken.sol,818,,SWC-107-Reentrancy,SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-114-Transaction Order Dependence,=0.7.6,0,0,no
ve.sol,contracts/ve.sol,1343,,SWC-104-Unchecked Call Return Value,SWC-112-Delegatecall to Untrusted Callee|SWC-104-Unchecked Call Return Value|SWC-107-Reentrancy,0.8.11,0,0,no
VEReward.sol,contracts/VEReward.sol,481,,SWC-113-DoS with Failed Call,SWC-113-DoS with Failed Call|SWC-128-DoS With Block Gas Limit,0.8.11,0,160,yes
Liquidator.sol,contracts/Liquidator.sol,37,,SWC-105-Unprotected Ether Withdrawal,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0,100,no
VaultManager.sol,contracts/VaultManager.sol,202,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,^0.8.0,0,99,yes
ZapIn.sol,contracts/ZapIn.sol,165,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,0.7.6,0,159,yes
SwapHelper.sol,contracts/SwapHelper.sol,74,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,0.7.6,0,296,no
IdleLiquidityModule.sol,contracts/IdleLiquidityModule.sol,133,,SWC-101-Integer Overflow and Underflow,SWC-101-Integer Overflow and Underflow,0.7.6,0,163,yes
