file,path,line,come,vul,vultype,version,fix_time,token_usage
Endpoint.sol,contracts/Endpoint.sol,313,,152,SWC-101-Integer Overflow and Underflow,0.7.6,0.0,2401.0
Relayer.sol,contracts/Relayer.sol,156,,4|4|21-23,SWC-102-Outdated Compiler Version|SWC-103-Floating Pragma|SWC-101-Integer Overflow and Underflow,^0.7.6,0.0,2628.0
ApeVault.sol,contracts/ApeVault.sol,288,,64|71|133-135,SWC-135-Code With No Effects|SWC-135-Code With No Effects|SWC-105-Unprotected Ether Withdrawal,^0.8.2,0.0,927.0
ImpossibleWrappedToken.sol,contracts/ImpossibleWrappedToken.sol,818,,53-61|65-73|65-73,SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-114-Transaction Order Dependence,=0.7.6,0.0,2180.0
ve.sol,contracts/ve.sol,1343,,491-493|675-697|1097-1104,SWC-112-Delegatecall to Untrusted Callee|SWC-104-Unchecked Call Return Value|SWC-107-Reentrancy,0.8.11,0.0,3173.0
VEReward.sol,contracts/VEReward.sol,481,,119-134|269-275,SWC-113-DoS with Failed Call|SWC-128-DoS With Block Gas Limit,0.8.11,0.0,2394.0
Liquidator.sol,contracts/Liquidator.sol,37,,35,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0.0,1807.0
VaultManager.sol,contracts/VaultManager.sol,202,,156-166,SWC-101-Integer Overflow and Underflow,^0.8.0,0.0,1996.0
ZapIn.sol,contracts/ZapIn.sol,165,,53-54,SWC-101-Integer Overflow and Underflow,0.7.6,0.0,1624.0
SwapHelper.sol,contracts/SwapHelper.sol,74,,11-74,SWC-101-Integer Overflow and Underflow,0.7.6,0.0,2114.0
IdleLiquidityModule.sol,contracts/IdleLiquidityModule.sol,133,,131,SWC-101-Integer Overflow and Underflow,0.7.6,0.0,1554.0
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,contracts/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,732,,454- 457,SWC-105-Unprotected Ether Withdrawal,>=0.6.0 <0.8.0,0.0,2163.0
MonstaPresale.sol,contracts/MonstaPresale.sol,97,,94 - 96,SWC-105-Unprotected Ether Withdrawal,0.6.0,0.0,1181.0
wildfire.sol,contracts/wildfire.sol,1114,,809 - 817|898 - 902,SWC-113-DoS with Failed Call|SWC-113-DoS with Failed Call,^0.6.12,0.0,1749.0
WorthTokenSale.sol,contracts/WorthTokenSale.sol,311,,279 - 282,SWC-105-Unprotected Ether Withdrawal,0.8.10,0.0,1945.0
VaultManager_1.sol,contracts/VaultManager_1.sol,925,,692,SWC-104-Unchecked Call Return Value,0.8.12,0.0,1378.0
Comptroller.sol,contracts/Comptroller.sol,1358,,465-501,SWC-107-Reentrancy,^0.8.6,0.0,1740.0
CToken.sol,contracts/CToken.sol,1201,,930-947,SWC-107-Reentrancy,^0.8.6,0.0,1267.0
MultiplyProxyActions.sol,contracts/MultiplyProxyActions.sol,816,,119|172,SWC-101-Integer Overflow and Underflow|SWC-104-Unchecked Call Return Value,>=0.7.6,0.0,2160.0
ReferralFeeReceiver.sol,contracts/ReferralFeeReceiver.sol,211,,11,SWC-107-Reentrancy,^0.6.0,0.0,2789.0
yield.sol,contracts/yield.sol,676,,2|532 - 541|640 - 644,SWC-103-Floating Pragma|SWC-108-State Variable Default Visibility|SWC-128-DoS With Block Gas Limit,^0.5.12,0.0,1313.0
FountainBase.sol,contracts/FountainBase.sol,351,,290-291|295-308,SWC-107-Reentrancy|SWC-107-Reentrancy,0.6.12,0.0,2613.0
YieldFarm.sol,contracts/YieldFarm.sol,173,,3|76,SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.6.0,0.0,1843.0
CommunityVault.sol,contracts/CommunityVault.sol,23,,2|19,SWC-103-Floating Pragma|SWC-107-Reentrancy,^0.6.0,0.0,1361.0
YieldFarm_1.sol,contracts/YieldFarm_1.sol,173,,3|73 - 77,SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.6.0,0.0,2011.0
YieldFarm_2.sol,contracts/YieldFarm_2.sol,173,,3|73 - 77,SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.6.0,0.0,2140.0
YieldFarmLP.sol,contracts/YieldFarmLP.sol,160,,3|62 - 66,SWC-103-Floating Pragma|SWC-128-DoS With Block Gas Limit,^0.6.0,0.0,1531.0
wHakka.sol,contracts/wHakka.sol,601,,509|556 - 573|576 - 592|580,SWC-116-Block values as a proxy for time|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-116-Block values as a proxy for time,0.5.17,0.0,2367.0
MasterChef.sol,contracts/MasterChef.sol,390,,105 - 127|131 - 143|227 - 266|247 - 251|272 - 306|310 - 329|333 - 340|378 - 381|384 - 389,SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-104-Unchecked Call Return Value|SWC-107-Reentrancy|SWC-104-Unchecked Call Return Value,0.6.7,0.0,4057.0
strategy-base.sol,contracts/strategy-base.sol,363,,237 - 268|271 - 288|291 - 322|325 - 342,SWC-104-Unchecked Call Return Value|SWC-104-Unchecked Call Return Value|SWC-104-Unchecked Call Return Value|SWC-104-Unchecked Call Return Value,^0.6.7,0.0,1726.0
strategy-basis-farm-base.sol,contracts/strategy-basis-farm-base.sol,153,,78 - 152,SWC-104-Unchecked Call Return Value,^0.6.7,0.0,1651.0
SpaceMonkey.sol,contracts/SpaceMonkey.sol,686,,53 - 64|67|194,SWC-107-Reentrancy|SWC-119-Shadowing State Variables|SWC-119-Shadowing State Variables,^0.8.4,0.0,2365.0
AllocationStaking.sol,contracts/AllocationStaking.sol,577,,129-134|207-214|472-475,SWC-101-Integer Overflow and Underflow|SWC-101-Integer Overflow and Underflow|SWC-101-Integer Overflow and Underflow,0.6.12,0.0,2509.0
Admin.sol,contracts/Admin.sol,79,,43-68,SWC-113-DoS with Failed Call,0.6.12,0.0,1559.0
AvalaunchSale.sol,contracts/AvalaunchSale.sol,588,,294|346,SWC-113-DoS with Failed Call|SWC-113-DoS with Failed Call,0.6.12,0.0,3339.0
Ark.sol,contracts/Ark.sol,87,,3|55,SWC-102-Outdated Compiler Version|SWC-113-DoS with Failed Call,0.6.9,0.0,1690.0
Vesting.sol,contracts/Vesting.sol,213,,139-199|172-180,SWC-113-DoS with Failed Call|SWC-101-Integer Overflow and Underflow,0.8.10,0.0,2384.0
Gate.sol,contracts/Gate.sol,250,,175-190,SWC-113-DoS with Failed Call,0.5.11,0.0,2055.0
woonklyPOS.sol,contracts/woonklyPOS.sol,1017,,743 - 769|874 - 886,SWC-107-Reentrancy|SWC-113-DoS with Failed Call,^0.6.6,0.0,3708.0
vault.sol,contracts/vault.sol,699,,409|513 - 548|513 - 548,SWC-101-Integer Overflow and Underflow|SWC-114-Transaction Order Dependence|SWC-105-Unprotected Ether Withdrawal,0.6.6,0.0,3072.0
BorrowerOperations.sol,contracts/BorrowerOperations.sol,666,,321 - 351,SWC-105-Unprotected Ether Withdrawal,0.6.11,0.0,1835.0
TempusController.sol,contracts/TempusController.sol,520,,352-386|395-436,SWC-107-Reentrancy|SWC-107-Reentrancy,0.8.6,0.0,3220.0
MetaTransactionsFeature.sol,contracts/MetaTransactionsFeature.sol,552,,100-107,SWC-107-Reentrancy,^0.6.5,0.0,2216.0
UniswapFeature.sol,contracts/UniswapFeature.sol,472,,203-206,SWC-107-Reentrancy,^0.6.5,0.0,2153.0
LibFixedMath.sol,contracts/LibFixedMath.sol,378,,361-378,SWC-101-Integer Overflow and Underflow,^0.5.9,0.0,2482.0
Mooniswap.sol,contracts/Mooniswap.sol,341,,331-341,SWC-105-Unprotected Ether Withdrawal,^0.6.0,0.0,2145.0
ReferralFeeReceiver_1.sol,contracts/ReferralFeeReceiver_1.sol,211,,38-50,SWC-105-Unprotected Ether Withdrawal,^0.6.0,0.0,1288.0
LendingPool.sol,contracts/LendingPool.sol,1033,,92-119|579,SWC-107-Reentrancy|SWC-104-Unchecked Call Return Value,^0.6.8,0.0,1956.0
JoinSplit.sol,contracts/JoinSplit.sol,397,,75-78,SWC-101-Integer Overflow and Underflow,>=0.5.0 <0.6.0,0.0,1838.0
BNum.sol,contracts/BNum.sol,164,,68-69,SWC-101-Integer Overflow and Underflow,0.5.12,0.0,2766.0
StandardBounties.sol,contracts/StandardBounties.sol,725,,2-725|3|48-49|246-265|249,SWC-108-State Variable Default Visibility|SWC-103-Floating Pragma|SWC-108-State Variable Default Visibility|SWC-108-State Variable Default Visibility|SWC-101-Integer Overflow and Underflow,0.5.0,0.0,2311.0
Accounts.sol,contracts/Accounts.sol,515,,387,SWC-128-DoS With Block Gas Limit,0.5.14,0.0,1824.0
CompHelper.sol,contracts/CompHelper.sol,39,,27-138,SWC-104-Unchecked Call Return Value,^0.7.0,0.0,1379.0
FLAaveV2.sol,contracts/FLAaveV2.sol,154,,106-137,SWC-107-Reentrancy,^0.7.0,0.0,2242.0
ZeroxWrapper.sol,contracts/ZeroxWrapper.sol,60,,42-50,SWC-101-Integer Overflow and Underflow,^0.7.0,0.0,1641.0
KyberWrapperV3.sol,contracts/KyberWrapperV3.sol,144,,101-109,SWC-101-Integer Overflow and Underflow,^0.7.0,0.0,1567.0
ETHRegistrarController.sol,contracts/ETHRegistrarController.sol,103,,46-49|56-65,SWC-114-Transaction Order Dependence|SWC-104-Unchecked Call Return Value,^0.5.0,0.0,3384.0
SimplePriceOracle.sol,contracts/SimplePriceOracle.sol,30,,27-29,SWC-101-Integer Overflow and Underflow,^0.5.0,0.0,711.0
StablePriceOracle.sol,contracts/StablePriceOracle.sol,73,,58-64,SWC-101-Integer Overflow and Underflow,^0.5.0,0.0,1443.0
xTRIBE.sol,contracts/xTRIBE.sol,141,,90-100,SWC-105-Unprotected Ether Withdrawal,^0.8.0,0.0,1055.0
CollateralizationOracle.sol,contracts/CollateralizationOracle.sol,341,,323|327,SWC-101-Integer Overflow and Underflow|SWC-101-Integer Overflow and Underflow,^0.8.4,0.0,1302.0
BalancerLBPSwapper.sol,contracts/BalancerLBPSwapper.sol,365,,108-118|174-258,SWC-114-Transaction Order Dependence|SWC-105-Unprotected Ether Withdrawal,^0.8.0,0.0,2510.0
Hypervisor.sol,contracts/Hypervisor.sol,587,,81-142|175-216|415,SWC-105-Unprotected Ether Withdrawal|SWC-107-Reentrancy|SWC-135-Code With No Effects,0.7.6,0.0,5212.0
