file,path,line,come,vul,vultype,version,fix_time,token_usage
Endpoint.sol,contracts/Endpoint.sol,313,,152,SWC-101-Integer Overflow and Underflow,0.7.6,9.15,3884.0
Relayer.sol,contracts/Relayer.sol,156,,4|4|21-23,SWC-102-Outdated Compiler Version|SWC-103-Floating Pragma|SWC-101-Integer Overflow and Underflow,^0.7.6,25.66,2780.0
ApeVault.sol,contracts/ApeVault.sol,288,,64|71|133-135,SWC-135-Code With No Effects|SWC-135-Code With No Effects|SWC-105-Unprotected Ether Withdrawal,^0.8.2,8.91,3011.0
ImpossibleWrappedToken.sol,contracts/ImpossibleWrappedToken.sol,818,,53-61|65-73|65-73,SWC-107-Reentrancy|SWC-107-Reentrancy|SWC-114-Transaction Order Dependence,=0.7.6,33.54,9884.0
ve.sol,contracts/ve.sol,1343,,491-493|675-697|1097-1104,SWC-112-Delegatecall to Untrusted Callee|SWC-104-Unchecked Call Return Value|SWC-107-Reentrancy,0.8.11,38.79,13791.0
VEReward.sol,contracts/VEReward.sol,481,,119-134|269-275,SWC-113-DoS with Failed Call|SWC-128-DoS With Block Gas Limit,0.8.11,38.43,5652.0
Liquidator.sol,contracts/Liquidator.sol,37,,35,SWC-105-Unprotected Ether Withdrawal,^0.8.0,10.83,874.0
VaultManager.sol,contracts/VaultManager.sol,202,,156-166,SWC-101-Integer Overflow and Underflow,^0.8.0,34.71,3252.0
ZapIn.sol,contracts/ZapIn.sol,165,,53-54,SWC-101-Integer Overflow and Underflow,0.7.6,29.81,2639.0
SwapHelper.sol,contracts/SwapHelper.sol,74,,11-74,SWC-101-Integer Overflow and Underflow,0.7.6,37.99,2026.0
IdleLiquidityModule.sol,contracts/IdleLiquidityModule.sol,133,,131,SWC-101-Integer Overflow and Underflow,0.7.6,22.39,2190.0
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,contracts/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,732,,454- 457,SWC-105-Unprotected Ether Withdrawal,>=0.6.0 <0.8.0,9.25,6191.0
MonstaPresale.sol,contracts/MonstaPresale.sol,97,,94 - 96,SWC-105-Unprotected Ether Withdrawal,0.6.0,5.63,1303.0
wildfire.sol,contracts/wildfire.sol,1114,,809 - 817|898 - 902,SWC-113-DoS with Failed Call|SWC-113-DoS with Failed Call,^0.6.12,25.61,10773.0
WorthTokenSale.sol,contracts/WorthTokenSale.sol,311,,279 - 282,SWC-105-Unprotected Ether Withdrawal,0.8.10,9.11,3385.0
VaultManager_1.sol,contracts/VaultManager_1.sol,925,,692,SWC-104-Unchecked Call Return Value,0.8.12,46.62,12348.0
Comptroller.sol,contracts/Comptroller.sol,1358,,465-501,SWC-107-Reentrancy,^0.8.6,19.48,13662.0
CToken.sol,contracts/CToken.sol,1201,,930-947,SWC-107-Reentrancy,^0.8.6,16.56,12030.0
MultiplyProxyActions.sol,contracts/MultiplyProxyActions.sol,816,,119|172,SWC-101-Integer Overflow and Underflow|SWC-104-Unchecked Call Return Value,>=0.7.6,21.88,7351.0
ReferralFeeReceiver.sol,contracts/ReferralFeeReceiver.sol,211,,11,SWC-107-Reentrancy,^0.6.0,69.78,4484.0
yield.sol,contracts/yield.sol,676,,2|532 - 541|640 - 644,SWC-103-Floating Pragma|SWC-108-State Variable Default Visibility|SWC-128-DoS With Block Gas Limit,^0.5.12,21.84,6634.0
FountainBase.sol,contracts/FountainBase.sol,351,,290-291|295-308,SWC-107-Reentrancy|SWC-107-Reentrancy,0.6.12,32.34,3975.0
