file,path,line,come,vul,vultype,version,fix_time,token_usage
0x000000c96e715a5b8cd3beaea66bdb749225fa2f,/home/hjh/Desktop/test/sguardplus/sum/0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol,630,rlrep,311,access_control,^0.4.18,14.84,389.0
0x00888096c1cdeb35bb3772f9080227aa6c9968ad,/home/hjh/Desktop/test/sguardplus/sum/0x00888096c1cdeb35bb3772f9080227aa6c9968ad.sol,25,rlrep,17,access_control,^0.4.13,6.83,270.0
0x011585ba96aa16b803e239defd807465073b883c,/home/hjh/Desktop/test/sguardplus/sum/0x011585ba96aa16b803e239defd807465073b883c.sol,102,rlrep,69,unchecked_low_level_calls,^0.4.11,11.47,508.0
0x0177584d97c96ba91873a6baaff2797b5b5eeaf9,/home/hjh/Desktop/test/sguardplus/sum/0x0177584d97c96ba91873a6baaff2797b5b5eeaf9.sol,649,rlrep,619,access_control,^0.4.25,9.56,319.0
0x018a5118019cc0cd453e49217374250177be5970,/home/hjh/Desktop/test/sguardplus/sum/0x018a5118019cc0cd453e49217374250177be5970.sol,14,rlrep,9,unchecked_low_level_calls,^0.4.24,12.18,413.0
0x018c4031426917a769fe9964ab2650621642b8d7,/home/hjh/Desktop/test/sguardplus/sum/0x018c4031426917a769fe9964ab2650621642b8d7.sol,194,rlrep,190,access_control,^0.4.17,14.46,329.0
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,/home/hjh/Desktop/test/sguardplus/sum/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,96,SmartBugs,54,Reentrancy,^0.4.19,11.98,447.0
0x0208a56ea43c3ff6c2611071948794c2674a16b9,/home/hjh/Desktop/test/sguardplus/sum/0x0208a56ea43c3ff6c2611071948794c2674a16b9.sol,205,smartfix,175,access_control,0.4.18,7.62,302.0
0x0246ca32095807e24a6bb9f811fecdbc2d5a83f1,/home/hjh/Desktop/test/sguardplus/sum/0x0246ca32095807e24a6bb9f811fecdbc2d5a83f1.sol,510,rlrep,175,Arithmetic,^0.4.25,8.21,319.0
0x02639fc688df086f18ce5e7f0f014bc74de0229b,/home/hjh/Desktop/test/sguardplus/sum/0x02639fc688df086f18ce5e7f0f014bc74de0229b.sol,63,rlrep,49,access_control,^0.4.11,7.65,316.0
0x02875851520ae6bc91b5e5d2885ae88d49017ff1,/home/hjh/Desktop/test/sguardplus/sum/0x02875851520ae6bc91b5e5d2885ae88d49017ff1.sol,8,rlrep,5,unchecked_low_level_calls,^0.4.23,19.15,333.0
0x02f63293d2028a6de37f1d9545e66246a0a45911,/home/hjh/Desktop/test/sguardplus/sum/0x02f63293d2028a6de37f1d9545e66246a0a45911.sol,22,rlrep,20,Arithmetic,^ 0.4.11,10.16,332.0
0x03c9458cef76439365cb1b4c44ea307c8e990b81,/home/hjh/Desktop/test/sguardplus/sum/0x03c9458cef76439365cb1b4c44ea307c8e990b81.sol,17,rlrep,13,access_control,^0.4.25,8.54,292.0
0x03f69791513022d8b67facf221b98243346df7cb,/home/hjh/Desktop/test/sguardplus/sum/0x03f69791513022d8b67facf221b98243346df7cb.sol,92,rlrep,22,Arithmetic,^0.4.25,11.14,419.0
0x04037029b4f7fac106b7a3b88985d095e11fd091,/home/hjh/Desktop/test/sguardplus/sum/0x04037029b4f7fac106b7a3b88985d095e11fd091.sol,257,smartfix,140,access_control,^0.8.0,12.98,324.0
